Filename; VoxelX; VoxelY; VoxelZ; BinContent
sep_sim_193_x-147_y115_z380.root; 34; 61; 41; 12
sep_sim_193_x-147_y115_z380.root; 34; 62; 34; 11
sep_sim_193_x-147_y115_z380.root; 34; 62; 35; 60
sep_sim_193_x-147_y115_z380.root; 34; 62; 36; 47
sep_sim_193_x-147_y115_z380.root; 34; 62; 37; 57
sep_sim_193_x-147_y115_z380.root; 34; 62; 38; 56
sep_sim_193_x-147_y115_z380.root; 34; 62; 39; 47
sep_sim_193_x-147_y115_z380.root; 34; 62; 40; 62
sep_sim_193_x-147_y115_z380.root; 34; 62; 41; 17
sep_sim_193_x-147_y115_z380.root; 34; 63; 35; 10
sep_sim_193_x-147_y115_z380.root; 34; 63; 36; 3
sep_sim_193_x-147_y115_z380.root; 34; 63; 37; 3
sep_sim_193_x-147_y115_z380.root; 34; 63; 38; 2
sep_sim_193_x-147_y115_z380.root; 34; 63; 39; 5
sep_sim_193_x-147_y115_z380.root; 34; 63; 40; 3
sep_sim_193_x-147_y115_z380.root; 35; 59; 34; 1
sep_sim_193_x-147_y115_z380.root; 35; 59; 35; 2
sep_sim_193_x-147_y115_z380.root; 35; 59; 36; 4
sep_sim_193_x-147_y115_z380.root; 35; 59; 37; 3
sep_sim_193_x-147_y115_z380.root; 35; 59; 38; 2
sep_sim_193_x-147_y115_z380.root; 35; 59; 39; 1
sep_sim_193_x-147_y115_z380.root; 35; 59; 40; 4
sep_sim_193_x-147_y115_z380.root; 35; 59; 41; 2
sep_sim_193_x-147_y115_z380.root; 35; 60; 34; 10
sep_sim_193_x-147_y115_z380.root; 35; 60; 35; 57
sep_sim_193_x-147_y115_z380.root; 35; 60; 36; 60
sep_sim_193_x-147_y115_z380.root; 35; 60; 37; 62
sep_sim_193_x-147_y115_z380.root; 35; 60; 38; 58
sep_sim_193_x-147_y115_z380.root; 35; 60; 39; 39
sep_sim_193_x-147_y115_z380.root; 35; 60; 40; 50
sep_sim_193_x-147_y115_z380.root; 35; 60; 41; 13
sep_sim_193_x-147_y115_z380.root; 35; 61; 34; 18
sep_sim_193_x-147_y115_z380.root; 35; 61; 35; 62
sep_sim_193_x-147_y115_z380.root; 35; 61; 36; 36
sep_sim_193_x-147_y115_z380.root; 35; 61; 37; 43
sep_sim_193_x-147_y115_z380.root; 35; 61; 38; 60
sep_sim_193_x-147_y115_z380.root; 35; 61; 39; 69
sep_sim_193_x-147_y115_z380.root; 35; 61; 40; 60
sep_sim_193_x-147_y115_z380.root; 35; 61; 41; 15
sep_sim_193_x-147_y115_z380.root; 35; 62; 34; 12
sep_sim_193_x-147_y115_z380.root; 35; 62; 35; 47
sep_sim_193_x-147_y115_z380.root; 35; 62; 36; 66
sep_sim_193_x-147_y115_z380.root; 35; 62; 37; 55
sep_sim_193_x-147_y115_z380.root; 35; 62; 38; 56
sep_sim_193_x-147_y115_z380.root; 35; 62; 39; 71
sep_sim_193_x-147_y115_z380.root; 35; 62; 40; 60
sep_sim_193_x-147_y115_z380.root; 35; 62; 41; 13
sep_sim_193_x-147_y115_z380.root; 35; 63; 34; 2
sep_sim_193_x-147_y115_z380.root; 35; 63; 35; 5
sep_sim_193_x-147_y115_z380.root; 35; 63; 36; 4
sep_sim_193_x-147_y115_z380.root; 35; 63; 37; 4
sep_sim_193_x-147_y115_z380.root; 35; 63; 38; 3
sep_sim_193_x-147_y115_z380.root; 35; 63; 39; 4
sep_sim_193_x-147_y115_z380.root; 35; 63; 40; 1
sep_sim_193_x-147_y115_z380.root; 35; 63; 41; 3
sep_sim_193_x-147_y115_z380.root; 36; 59; 35; 1
sep_sim_193_x-147_y115_z380.root; 36; 59; 36; 4
sep_sim_193_x-147_y115_z380.root; 36; 59; 37; 2
sep_sim_193_x-147_y115_z380.root; 36; 59; 39; 2
sep_sim_193_x-147_y115_z380.root; 36; 59; 40; 2
sep_sim_193_x-147_y115_z380.root; 36; 59; 41; 2
sep_sim_193_x-147_y115_z380.root; 36; 60; 34; 10
sep_sim_193_x-147_y115_z380.root; 36; 60; 35; 56
sep_sim_193_x-147_y115_z380.root; 36; 60; 36; 35
sep_sim_193_x-147_y115_z380.root; 36; 60; 37; 48
sep_sim_193_x-147_y115_z380.root; 36; 60; 38; 51
sep_sim_193_x-147_y115_z380.root; 36; 60; 39; 55
sep_sim_193_x-147_y115_z380.root; 36; 60; 40; 50
sep_sim_193_x-147_y115_z380.root; 36; 60; 41; 6
sep_sim_193_x-147_y115_z380.root; 36; 61; 34; 7
sep_sim_193_x-147_y115_z380.root; 36; 61; 35; 37
sep_sim_193_x-147_y115_z380.root; 36; 61; 36; 58
sep_sim_193_x-147_y115_z380.root; 36; 61; 37; 43
sep_sim_193_x-147_y115_z380.root; 36; 61; 38; 50
sep_sim_193_x-147_y115_z380.root; 36; 61; 39; 59
sep_sim_193_x-147_y115_z380.root; 36; 61; 40; 39
sep_sim_193_x-147_y115_z380.root; 36; 61; 41; 12
sep_sim_193_x-147_y115_z380.root; 36; 62; 34; 12
sep_sim_193_x-147_y115_z380.root; 36; 62; 35; 47
sep_sim_193_x-147_y115_z380.root; 36; 62; 36; 39
sep_sim_193_x-147_y115_z380.root; 36; 62; 37; 46
sep_sim_193_x-147_y115_z380.root; 36; 62; 38; 50
sep_sim_193_x-147_y115_z380.root; 36; 62; 39; 43
sep_sim_193_x-147_y115_z380.root; 36; 62; 40; 53
sep_sim_193_x-147_y115_z380.root; 36; 62; 41; 8
sep_sim_193_x-147_y115_z380.root; 36; 63; 35; 4
sep_sim_193_x-147_y115_z380.root; 36; 63; 36; 2
sep_sim_193_x-147_y115_z380.root; 36; 63; 38; 2
sep_sim_193_x-147_y115_z380.root; 36; 63; 39; 3
sep_sim_193_x-147_y115_z380.root; 36; 63; 40; 2
sep_sim_194_x85_y82_z216.root; 57; 55; 20; 15
sep_sim_194_x85_y82_z216.root; 57; 55; 21; 56
sep_sim_194_x85_y82_z216.root; 57; 55; 22; 25
sep_sim_194_x85_y82_z216.root; 57; 56; 20; 32
sep_sim_194_x85_y82_z216.root; 57; 56; 21; 53
sep_sim_194_x85_y82_z216.root; 57; 56; 22; 44
sep_sim_194_x85_y82_z216.root; 57; 57; 20; 29
sep_sim_194_x85_y82_z216.root; 57; 57; 21; 53
sep_sim_194_x85_y82_z216.root; 57; 57; 22; 40
sep_sim_194_x85_y82_z216.root; 57; 58; 20; 24
sep_sim_194_x85_y82_z216.root; 57; 58; 21; 46
sep_sim_194_x85_y82_z216.root; 57; 58; 22; 34
sep_sim_194_x85_y82_z216.root; 57; 59; 20; 29
sep_sim_194_x85_y82_z216.root; 57; 59; 21; 58
sep_sim_194_x85_y82_z216.root; 57; 59; 22; 34
sep_sim_194_x85_y82_z216.root; 57; 60; 20; 22
sep_sim_194_x85_y82_z216.root; 57; 60; 21; 62
sep_sim_194_x85_y82_z216.root; 57; 60; 22; 34
sep_sim_194_x85_y82_z216.root; 57; 61; 20; 12
sep_sim_194_x85_y82_z216.root; 57; 61; 21; 13
sep_sim_194_x85_y82_z216.root; 57; 61; 22; 12
